"ticker","date","close_price","open_price","volume","high_price","low_price","abs_change","pct_change","action","stop_loss","take_profit","signal_strength","limit_order","current_price","rsi","macd","macd_signal","macd_hist","vwap","bol_bands","sma","crsi","klinger","keltner","cmo","reason","time","diff"
"TITAN","2025-12-11T13:19:23+05:30","3834.95","3837.8","39.0","3839.85","3833.5","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","3834.95","61.126005361929536","2.291927118040803","1.1856236709545267","1.1063034470862765","3833.6557429718873","[0.0,0.0]","[0.0,0.0]","41.786282814434806","[5.346632949218645,3.3057051746893076,2.040927774529337]","[3833.1127529143946,3845.9349751366167,3820.290530692173]","22.252010723859073","""macd says BUY, klinger says BUY, rsi says SELL, ""","1765439699908","1"
"BAJAJFINSV","2025-12-11T13:19:36+05:30","2053.8","2057.15","110.0","2059.05","2053.55","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","2053.8","52.7272727272746","1.1653616436515222","0.5815142886551032","0.5838473549964189","2054.270178071228","[0.0,0.0]","[0.0,0.0]","22.492829081614072","[137.54117364195668,64.93074078055346,72.61043286140321]","[2054.76522641577,2065.1874486379925,2044.343004193548]","5.454545454549213","""macd says BUY, crsi says BUY, klinger says BUY, ""","1765439699908","1"
"INFY","2025-12-11T13:18:58+05:30","1590.1","1591.05","19866.0","1591.05","1589.0","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","1590.1","50.70422535211205","0.35437213452246397","0.16211534668722183","0.19225678783524217","1590.2069847522578","[0.0,0.0]","[0.0,0.0]","32.348043900036245","[-486.09239411077186,-82.54398372778967,-403.5484103829822]","[1590.4281459318106,1595.172590376255,1585.6837014873663]","1.4084507042240892","""macd says BUY, klinger says SELL, ""","1765439699908","1"
"TATASTEEL","2025-12-11T13:19:45+05:30","164.3","164.25","1576.0","164.45","164.2","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","164.3","55.00000000000142","0.07696129790741679","0.041147506105121634","0.03581379180229516","164.23578918322298","[0.0,0.0]","[0.0,0.0]","32.36459286818126","[315.17717982917156,163.9617356148948,151.21544421427677]","[164.23392292257583,164.8005895892425,163.66725625590917]","10.000000000002842","""macd says BUY, klinger says BUY, rsi says SELL, ""","1765439699908","1"
"BAJFINANCE","2025-12-11T13:19:11+05:30","1003.6","1004.7","3601.0","1006.0","1003.0","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","1003.6","66.6666666666673","0.7569919808896657","0.39351770885011594","0.36347427203954974","1003.16625577363","[0.0,0.0]","[0.0,0.0]","52.80167402929548","[340.4779929976278,144.65728995660078,195.820703041027]","[1002.749740062126,1008.2830733954592,997.2164067287928]","33.33333333333459","""macd says BUY, klinger says BUY, rsi says SELL, cmo says SELL, ""","1765439699908","1"
"LTTS","2025-12-11T13:19:08+05:30","3994.85","3994.65","289.0","3997.7","3992.05","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","3994.85","70.81545064377464","1.4692360819890382","0.7052952203588365","0.7639408616302017","3991.551498694957","[0.0,0.0]","[0.0,0.0]","27.82196438279375","[95.31348627293896,46.47285651692203,48.840629756016945]","[3991.92149228537,4002.7214922853695,3981.12149228537]","41.63090128754929","""macd says BUY, klinger says BUY, rsi says SELL, cmo says SELL, ""","1765439699908","1"
"KOTAKBANK","2025-12-11T13:19:26+05:30","2188.2","2187.35","1003.0","2190.0","2186.75","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","2188.2","37.19512195121701","0.7253156887163641","0.36686223370040705","0.35845345501595705","2188.3379126232508","[0.0,0.0]","[0.0,0.0]","58.549705985258704","[95.87982315129898,41.94450599850089,53.93531715279809]","[2188.754093544771,2198.2763157669933,2179.2318713225486]","-25.60975609756598","""macd says BUY, rsi says BUY, klinger says BUY, ""","1765439699908","1"
"ADANIPORTS","2025-12-11T13:19:39+05:30","1507.45","1508.85","221.0","1508.85","1506.85","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","1507.45","67.96875000000003","0.8944675566019669","0.515567904178889","0.3788996524230779","1506.429451842676","[0.0,0.0]","[0.0,0.0]","57.789468728668794","[105.54072477864644,51.81815719013365,53.7225675885128]","[1506.3655175590486,1511.9655175590483,1500.7655175590487]","35.93750000000006","""macd says BUY, klinger says BUY, rsi says SELL, cmo says SELL, ""","1765439699908","1"
"TECHM","2025-12-11T13:19:51+05:30","1560.4","1559.3","16.0","1560.4","1559.3","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","1560.4","95.7142857142834","0.6727347161397574","0.3930577268845479","0.27967698925520956","1558.6331574318378","[0.0,0.0]","[0.0,0.0]","85.25118364449933","[4.815587717680038,2.5020044551799683,2.3135832625000696]","[1558.3572670093956,1561.5350447871735,1555.1794892316177]","91.42857142856678","""macd says BUY, klinger says BUY, crsi says SELL, cmo says SELL, ""","1765439699908","1"
"TCS","2025-12-11T13:18:46+05:30","3185.0","3186.7","69.0","3186.75","3183.85","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","3185.0","54.779411764706744","0.8480240159510686","0.46484784038589033","0.38317617556517825","3184.6504878350006","[0.0,0.0]","[0.0,0.0]","35.70348853242428","[69.27334096771847,33.73486455627844,35.53847641144003]","[3184.5925241569366,3193.892524156937,3175.2925241569365]","9.558823529413486","""macd says BUY, klinger says BUY, ""","1765439699908","1"
"JSWSTEEL","2025-12-11T13:19:57+05:30","1097.5","1098.3","324.0","1098.3","1097.5","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","1097.5","33.89830508474523","0.5349154996874859","0.2397722733418549","0.29514322634563095","1098.747765899123","[0.0,0.0]","[0.0,0.0]","28.487712119599944","[-5.059694628870517,2.267651404052272,-7.327346032922788]","[1098.8184397339278,1102.44066195615,1095.1962175117055]","-32.20338983050952","""macd says BUY, rsi says BUY, cmo says BUY, klinger says SELL, ""","1765439699908","1"
"HCLTECH","2025-12-11T13:19:17+05:30","1666.8","1669.0","243.0","1669.2","1666.5","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","1666.8","49.07407407407279","0.553927149886249","0.2721610818272311","0.28176606805901794","1667.2888721862475","[0.0,0.0]","[0.0,0.0]","11.459946324593789","[91.06387768801636,52.77037909660142,38.293498591414945]","[1667.3906296546456,1671.73507409909,1663.0461852102012]","-1.851851851854425","""macd says BUY, crsi says BUY, klinger says BUY, ""","1765439699908","1"
"SUNPHARMA","2025-12-11T13:19:20+05:30","1798.35","1799.15","578.0","1800.0","1798.3","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","1798.35","63.52941176470355","0.4646500433177607","0.2291394568487473","0.2355105864690134","1798.0572205613682","[0.0,0.0]","[0.0,0.0]","27.547003261998913","[66.44153042284165,37.120725708283715,29.320804714557937]","[1797.8912151571958,1802.724548490529,1793.0578818238623]","27.058823529407107","""macd says BUY, klinger says BUY, rsi says SELL, ""","1765439699908","1"
"ADANIENT","2025-12-11T13:18:30+05:30","2247.05","2242.7","86.0","2247.05","2242.7","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","2247.05","70.61224489795839","1.0187812200151711","0.450840894872009","0.5679403251431621","2243.8149008595014","[0.0,0.0]","[0.0,0.0]","40.71888605677987","[-52.50034844289024,-26.235399632643773,-26.26494881024647]","[2243.467103565788,2256.1296035657883,2230.8046035657876]","41.22448979591679","""macd says BUY, rsi says SELL, klinger says SELL, cmo says SELL, ""","1765439699908","1"
